Date,Symbol,Adj Close,Close,High,Low,Open,Volume,Exchange,Shortname,Longname,Sector,Industry,Currentprice,Marketcap,Ebitda,Revenuegrowth,City,State,Country,Fulltimeemployees,Weight
2024-08-15,GOOGL,160.90184020996094,161.3000030517578,161.63999938964844,159.61000061035156,160.5,31524300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-16,GOOGL,162.5577392578125,162.9600067138672,165.05999755859375,161.1300048828125,161.47000122070312,24208600.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-19,GOOGL,166.25857543945312,166.6699981689453,166.69000244140625,164.25999450683594,165.27999877929688,22416200.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-20,GOOGL,166.76731872558594,167.17999267578125,168.63999938964844,166.82000732421875,166.89999389648438,18341500.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-21,GOOGL,165.44061279296875,165.85000610351562,166.85000610351562,164.6699981689453,165.14999389648438,22902000.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-22,GOOGL,163.39566040039062,163.8000030517578,167.58999633789062,163.30999755859375,167.25999450683594,22493300.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-23,GOOGL,165.21116638183594,165.6199951171875,166.17999267578125,163.8300018310547,164.72000122070312,13955700.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-26,GOOGL,165.74984741210938,166.16000366210938,167.5500030517578,164.4600067138672,166.3800048828125,14190400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-27,GOOGL,164.27349853515625,164.67999267578125,166.44000244140625,164.4600067138672,165.83999633789062,11821900.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
2024-08-28,GOOGL,162.44802856445312,162.85000610351562,165.60000610351562,161.52999877929688,165.0399932861328,16407400.0,NMS,Alphabet Inc.,Alphabet Inc.,Communication Services,Internet Content & Information,191.96,2356904198144.0,123469996032.0,0.151,Mountain View,CA,United States,181269.0,0.0415598652149337
